nname,name_raw,inst_id,inst_name,inst_country,n_obs,n_sys
3 dokkyo university school medical,(3) Dokkyo University School of Medicine / 獨協医科 大学,U00043,(3) Dokkyo University School of Medicine / 獨協医科 大学,,1,1
3 johns hopkins university school medical,(3) Johns Hopkins University School of Medicine,U00044,(3) Johns Hopkins University School of Medicine,,1,1
3 ningbo institute technology zhejiang university,(3) Ningbo Institute of Technology Zhejiang University / 浙江大学宁波理工学院,U00045,(3) Ningbo Institute of Technology Zhejiang University / 浙江大学宁波理工学院,,1,1
3 observatoire paris psl,(3) Observatoire de Paris PSL,U00046,(3) Observatoire de Paris PSL,,1,1
3 oklahoma state university oklahoma city,(3) Oklahoma State University Oklahoma City,U00047,(3) Oklahoma State University Oklahoma City,,1,1
3 peking university health science center beijing medical university,(3) Peking University Health Science Center (Beijing Medical University) / 北京大学医学部,U00048,(3) Peking University Health Science Center (Beijing Medical University) / 北京大学医学部,,1,1
3 school normale superieure ens paris university psl,(3) École Normale Supérieure ENS Paris (Université PSL),U00074,(3) École Normale Supérieure ENS Paris (Université PSL),,1,1
3 shenzhen graduate school peking university,(3) Shenzhen Graduate School Peking University / 北 京大学深圳研究生院,U00049,(3) Shenzhen Graduate School Peking University / 北 京大学深圳研究生院,,1,1
3 southern illinois university school medical,(3) Southern Illinois University School of Medicine,U00050,(3) Southern Illinois University School of Medicine,,1,1
3 stony brook medical,(3) Stony Brook Medicine,U00051,(3) Stony Brook Medicine,,1,1
3 texas technology university health science center,(3) Texas Tech University Health Sciences Center,U00052,(3) Texas Tech University Health Sciences Center,,1,1
3 university engineering technology truong dai hoc cong nghe,(3) University of Engineering and Technology / Trường Đại học Công nghệ,U00057,(3) University of Engineering and Technology / Trường Đại học Công nghệ,,1,1
3 university florida health,(3) University of Florida Health,U00058,(3) University of Florida Health,,1,1
3 university kansas medical center,(3) University of Kansas Medical Center,U00059,(3) University of Kansas Medical Center,,1,1
3 university lusofona humanidades tecnologias,(3) Universidade Lusófona de Humanidades e Tecnologias,U00055,(3) Universidade Lusófona de Humanidades e Tecnologias,,1,1
3 university maryland center environmental science,(3) University of Maryland Center for Environmental Science,U00060,(3) University of Maryland Center for Environmental Science,,1,1
3 university minnesota duluth,(3) University of Minnesota Duluth,U00061,(3) University of Minnesota Duluth,,1,1
3 university mohammed v agdal school mohammadia dingenieurs,(3) Université Mohammed V Agdal École Mohammadia d'Ingénieurs,U00070,(3) Université Mohammed V Agdal École Mohammadia d'Ingénieurs,,1,1
3 university oklahoma health science center,(3) University of Oklahoma Health Sciences Center,U00062,(3) University of Oklahoma Health Sciences Center,,1,1
3 university philippines,(3) University of the Philippines,U00067,(3) University of the Philippines,,1,1
3 university philippines diliman,(3) University of the Philippines Diliman,U00068,(3) University of the Philippines Diliman,,1,1
3 university philippines visayas,(3) University of the Philippines in the Visayas,U00069,(3) University of the Philippines in the Visayas,,1,1
3 university puerto rico mayaguez,(3) Universidad de Puerto Rico Mayaguez,U00053,(3) Universidad de Puerto Rico Mayaguez,,1,1
3 university puerto rico rio piedras,(3) Universidad de Puerto Rico Río Piedras,U00054,(3) Universidad de Puerto Rico Río Piedras,,1,1
3 university ramon llull esade business school barcelona,(3) Universitat Ramon Llull ESADE Business School Barcelona,U00056,(3) Universitat Ramon Llull ESADE Business School Barcelona,,1,1
3 university tennessee health science center memphis,(3) University of Tennessee Health Science Center Memphis,U00063,(3) University of Tennessee Health Science Center Memphis,,1,1
3 university texas health science center houston,(3) University of Texas Health Science Center at Houston,U00064,(3) University of Texas Health Science Center at Houston,,1,1
3 university texas health science center san antonio,(3) University of Texas Health Science Center at San Antonio,U00065,(3) University of Texas Health Science Center at San Antonio,,1,1
3 university texas medical branch galveston,(3) University of Texas Medical Branch Galveston,U00066,(3) University of Texas Medical Branch Galveston,,1,1
3 university tunis manar school national dingenieurs tunis,(3) Université de Tunis el Manar Ecole Nationale d'Ingénieurs de Tunis,U00071,(3) Université de Tunis el Manar Ecole Nationale d'Ingénieurs de Tunis,,1,1
3 vnu hanoi university science truong dai hoc khoa hoc tu nhien,(3) VNU Hanoi University of Science / Trường Đại học Khoa học Tự nhiên,U00072,(3) VNU Hanoi University of Science / Trường Đại học Khoa học Tự nhiên,,1,1
3 zhejiang university city college,(3) Zhejiang University City College / 浙江大学城市 学院,U00073,(3) Zhejiang University City College / 浙江大学城市 学院,,1,1
4 ahsanullah university science technology,(4) Ahsanullah University of Science & Technology,U00075,(4) Ahsanullah University of Science & Technology,,1,1
4 capella university,(4) Capella University,U00076,(4) Capella University,,1,1
4 texila american university,(4) Texila American University,U00077,(4) Texila American University,,1,1
4 university internacional isabel i castilla university privada internacional burgos,(4) Universidad Internacional Isabel I de Castilla (Universidad Privada Internacional de Burgos),U00078,(4) Universidad Internacional Isabel I de Castilla (Universidad Privada Internacional de Burgos),,1,1
4 university phoenix,(4) University of Phoenix,U00079,(4) University of Phoenix,,1,1
4 walden university national technology university,(4) Walden University (National Technological University),U00080,(4) Walden University (National Technological University),,1,1
aalborg university,Aalborg University,U00111,Aalborg University,Denmark,59,7
aalborg university aalborg university,Aalborg University / Aalborg Universitet,U00111,Aalborg University,Denmark,1,1
aalen university,Aalen University,U00112,Aalen University,Germany,1,1
aalesund university college,Aalesund University College,U00113,Aalesund University College,Norway,1,1
aalto university,Aalto University,U00114,Aalto University,Finland,69,9
aalto university aalto yliopisto,Aalto University / Aalto-yliopisto,U00114,Aalto University,Finland,1,1
aarhus university,Aarhus University,U00115,Aarhus University,Denmark,100,10
aarhus university aarhus university,Aarhus University / Aarhus Universitet,U00115,Aarhus University,Denmark,1,1
abai kazakh national pedagogical university,ABAI KAZAKH NATIONAL PEDAGOGICAL UNIVERSITY,U00116,Abai Kazakh National Pedagogical University (Abai University),Kazakhstan,3,1
abai kazakh national pedagogical university abai university,Abai Kazakh National Pedagogical University (Abai University),U00116,Abai Kazakh National Pedagogical University (Abai University),Kazakhstan,12,1
abant izzet baysal university,Abant Izzet Baysal University,U00117,Abant Izzet Baysal University,Turkey,2,2
abbott,Abbott,U00119,Abbott,United States,1,1
abbvie,AbbVie,U00118,AbbVie,United States,1,1
abdelmalek essaadi university,Abdelmalek Essaâdi University,U00120,Abdelmalek Essaâdi University,Morocco,4,1
abdelmalek essaadi university tetouan,Abdelmalek Essaadi University of Tetouan,U00120,Abdelmalek Essaâdi University,Morocco,1,1
abdul wali khan university,Abdul Wali Khan University,U00121,Abdul Wali Khan University Mardan,Pakistan,1,1
abdul wali khan university mardan,Abdul Wali Khan University Mardan,U00121,Abdul Wali Khan University Mardan,Pakistan,7,2
abdullah gul university,Abdullah Gül University,U00122,Abdullah Gül University,Turkey,1,1
abdullah gul university kayseri,Abdullah Gül University Kayseri,U00123,Abdullah Gül University Kayseri,,1,1
abdus salam international center theoretical physics,Abdus Salam International Centre for Theoretical Physics (ICTP),U00124,Abdus Salam International Centre for Theoretical Physics (ICTP),Italy,1,1
aberystwyth university,Aberystwyth University,U00125,Aberystwyth University,United Kingdom,40,6
aberystwyth university prifysgol aberystwyth,Aberystwyth University / Prifysgol Aberystwyth,U00126,Aberystwyth University / Prifysgol Aberystwyth,,1,1
abes engineering college,ABES Engineering College,U00093,ABES Engineering College,,1,1
abilene christian university,Abilene Christian University,U00127,Abilene Christian University,,1,1
abo academy university,Abo Akademi University,U00129,Abo Akademi University,Finland,30,7
abo akad university,Abo Akad University,U00128,Abo Akad University,Finland,1,1
abu dhabi university,Abu Dhabi University,U00130,Abu Dhabi University,United Arab Emirates,21,4
abubakar tafawa balewa university,Abubakar Tafawa Balewa University,U00131,Abubakar Tafawa Balewa University,,1,1
abylkas saginov karaganda technology university,Abylkas Saginov Karaganda Technical University,U00132,Abylkas Saginov Karaganda Technical University,Kazakhstan,9,1
academic college tel aviv yaffo,Academic College of Tel Aviv Yaffo,U00134,Academic College of Tel Aviv Yaffo,,1,1
academician buketov karaganda university,ACADEMICIAN Y.A. BUKETOV KARAGANDA UNIVERSITY,U00094,ACADEMICIAN Y.A. BUKETOV KARAGANDA UNIVERSITY,Kazakhstan,3,1
academy athens,Academy of Athens,U00135,Academy of Athens,Greece,1,1
academy management lodz spoleczna academy nauk wyzsza szkola przedsiebiorczosci i zarzadzania w lodzi,Academy of Management in Lodz / Społeczna Akademia Nauk (Wyższa Szkoła Przedsiębiorczości i Zarządzania w Łodzi),U00136,Academy of Management in Lodz / Społeczna Akademia Nauk (Wyższa Szkoła Przedsiębiorczości i Zarządzania w Łodzi),,1,1
academy physical education katowice academy wychowania fizycznego jerzego kukuczki w katowicach,Academy of Physical Education in Katowice / Akademia Wychowania Fizycznego Jerzego Kukuczki w Katowicach,U00138,Academy of Physical Education in Katowice / Akademia Wychowania Fizycznego Jerzego Kukuczki w Katowicach,,1,1
academy physical education sport gdansk academy wychowania fizycznego i sportu jedrzeja sniadeckiego w gdansku,Academy of Physical Education and Sport in Gdansk / Akademia Wychowania Fizycznego i Sportu Jędrzeja Śniadeckiego w Gdańsku,U00137,Academy of Physical Education and Sport in Gdansk / Akademia Wychowania Fizycznego i Sportu Jędrzeja Śniadeckiego w Gdańsku,,1,1
academy physical education wroclaw academy wychowania fizycznego we wroclawiu,Academy of Physical Education in Wroclaw / Akademia Wychowania Fizycznego we Wrocławiu,U00139,Academy of Physical Education in Wroclaw / Akademia Wychowania Fizycznego we Wrocławiu,,1,1
academy science czech republic,ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,U01160,Czech Academy of Sciences (CAS),Czechia,1,1
academy science republic tajikistan,Academy of Sciences of the Republic of Tajikistan,U00140,Academy of Sciences of the Republic of Tajikistan,Tajikistan,1,1
academy science republic uzbekistan uzas,Academy of Sciences of the Republic of Uzbekistan (UzAS),U00141,Academy of Sciences of the Republic of Uzbekistan (UzAS),Uzbekistan,1,1
academy scientific innovative research,ACADEMY OF SCIENTIFIC AND INNOVATIVE RESEARCH,U00095,ACADEMY OF SCIENTIFIC AND INNOVATIVE RESEARCH,India,5,3
academy scientific innovative research acsir,Academy of Scientific and Innovative Research (AcSIR),U00095,ACADEMY OF SCIENTIFIC AND INNOVATIVE RESEARCH,India,1,1
academy sinica,Academia Sinica,U00133,Academia Sinica,Taiwan,2,1
acadia university,Acadia University,U00142,Acadia University,,1,1
acharya nagarjuna university,Acharya Nagarjuna University,U00143,Acharya Nagarjuna University,India,10,2
acibadem university,Acıbadem University,U00145,Acıbadem University,Turkey,8,2
acibadem university acibadem universitesi,Acibadem University / Acıbadem Üniversitesi,U00144,Acibadem University / Acıbadem Üniversitesi,,1,1
ada forsyth institute,ADA Forsyth Institute,U00096,ADA Forsyth Institute,United States,1,1
ada university,ADA University,U00097,ADA University,Azerbaijan,2,1
adam mickiewicz university,Adam Mickiewicz University,U00147,"Adam Mickiewicz University, Poznań",Poland,7,2
adam mickiewicz university poznan,"Adam Mickiewicz University, Poznań",U00147,"Adam Mickiewicz University, Poznań",Poland,29,5
adam mickiewicz university poznan university adama mickiewicza w poznaniu,Adam Mickiewicz University Poznan / Uniwersytet Adama Mickiewicza w Poznaniu,U00146,Adam Mickiewicz University Poznan / Uniwersytet Adama Mickiewicza w Poznaniu,,1,1
adama science technology university,Adama Science & Technology University,U00148,Adama Science & Technology University,,1,1
adamas university,Adamas University,U00149,Adamas University,,1,1
adamson university,Adamson University,U00150,Adamson University,Philippines,2,1
adana alparslan turkes bilim ve teknoloji universitesi adana alparslan turkes science technology university,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi / Adana Alparslan Türkeş Science and Technology University,U00151,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi / Adana Alparslan Türkeş Science and Technology University,,1,1
adana alparslan turkes science technology university,Adana Alparslan Türkeş Science and Technology University,U00152,Adana Alparslan Türkeş Science and Technology University,Turkey,2,1
addis ababa science technology university ethiopia,Addis Ababa Science and Technology University Ethiopia,U00153,Addis Ababa Science and Technology University Ethiopia,,1,1
addis ababa university,Addis Ababa University,U00154,Addis Ababa University,Ethiopia,15,8
adekunle ajasin university,Adekunle Ajasin University,U00155,Adekunle Ajasin University,,1,1
adelaide university,Adelaide University,U05136,The University of Adelaide,Australia,4,3
adelphi university,Adelphi University,U00156,Adelphi University,United States,4,2
adiyaman university,Adıyaman University,U00160,Adıyaman University,Turkey,5,4
adnan menderes university,Adnan Menderes University,U00157,Adnan Menderes University,,1,1
adolfo ibanez university,Adolfo Ibáñez University,U05364,Universidad Adolfo Ibáñez,Chile,9,3
adventhealth,AdventHealth,U00158,AdventHealth,United States,1,1
advocate health,Advocate Health,U00159,Advocate Health,United States,1,1
aero engine corporation china,Aero Engine Corporation of China (AECC),U00161,Aero Engine Corporation of China (AECC),China,1,1
aerodyne research,Aerodyne Research,U00162,Aerodyne Research,United States,1,1
afe babalola university,Afe Babalola University,U00163,Afe Babalola University,Nigeria,1,1
afyon kocatepe university,Afyon Kocatepe University,U00164,Afyon Kocatepe University,Turkey,3,2
afyonkarahisar health science university,Afyonkarahisar Health Sciences University,U00165,Afyonkarahisar Health Sciences University,Turkey,1,1
aga khan university,Aga Khan University,U00166,Aga Khan University,Pakistan,8,6
agency science technology research star,"Agency for Science, Technology and Research (A*STAR)",U00167,"Agency for Science, Technology and Research (A*STAR)",Singapore,2,1
agh university krakow,AGH University of Krakow,U00099,AGH University of Science and Technology,Poland,22,3
agh university krakow agh university,AGH University of Krakow (AGH University),U00099,AGH University of Science and Technology,Poland,1,1
agh university science technology,AGH University of Science and Technology,U00099,AGH University of Science and Technology,Poland,13,4
agh university science technology academy gorniczo hutnicza stanislawa staszica w krakowie,AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie,U00098,AGH University of Science & Technology / Akademia Górniczo-Hutnicza Stanisława Staszica w Krakowie,,1,1
agilent,Agilent,U00168,Agilent,United States,1,1
agnes scott college,Agnes Scott College,U00169,Agnes Scott College,,1,1
agriculture food canada,Agriculture and Agri-Food Canada (AAFC),U00175,Agriculture and Agri-Food Canada (AAFC),Canada,1,1
agriculture food development authority teagasc,The Agriculture and Food Development Authority - Teagasc,U05088,The Agriculture and Food Development Authority - Teagasc,Ireland,1,1
agriculture mountain university agriculture ibrahim cecen university,Agri Mountain University / Ağrı İbrahim Çeçen University,U00170,Agri Mountain University / Ağrı İbrahim Çeçen University,,1,1
agriculture research center international development,Agricultural Research Centre for International Development (CIRAD),U00171,Agricultural Research Centre for International Development (CIRAD),France,1,1
agriculture university athens,Agricultural University of Athens,U00173,Agricultural University of Athens,Greece,4,3
agriculture university cracow university rolniczy w krakowie,Agricultural University of Cracow / Uniwersytet Rolniczy w Krakowie,U00174,Agricultural University of Cracow / Uniwersytet Rolniczy w Krakowie,,1,1
agriculture university lublin,Agricultural University Lublin,U00172,Agricultural University Lublin,Poland,1,1
agriculture university peshawar,Agricultural University Peshawar,U05137,"The University of Agriculture, Peshawar",Pakistan,1,1
agroparistech,AgroParisTech,U00176,AgroParisTech,France,3,2
agroparistech institute science et industries vivant et lenvironnement engref ensia ina pg comue university paris saclay,AgroParisTech Institut des Sciences et Industries du Vivant et de l'Environnement (ENGREF+ENSIA+INA PG) (comUE Université Paris Saclay),U00177,AgroParisTech Institut des Sciences et Industries du Vivant et de l'Environnement (ENGREF+ENSIA+INA PG) (comUE Université Paris Saclay),,1,1
agroscope,Agroscope,U00178,Agroscope,Switzerland,1,1
ahi evran university,Ahi Evran University,U00179,Ahi Evran University,,1,1
ahlia university,Ahlia University,U00180,Ahlia University,Bahrain,6,2
ahmadu bello university,Ahmadu Bello University,U00181,Ahmadu Bello University,Nigeria,6,4
ahmadu bello university zaria,"Ahmadu Bello University, Zaria",U00181,Ahmadu Bello University,Nigeria,2,1
ahmedabad university,Ahmedabad University (AU),U00182,Ahmedabad University (AU),India,1,1
ahvaz jundishapur university medical science,Ahvaz Jundishapur University of Medical Sciences (AJUMS),U00183,Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,8,4
ai science institute,AI for Science Institute,U00100,AI for Science Institute,China,1,1
aichi gakuin university,Aichi Gakuin University / 愛知学院大学,U00184,Aichi Gakuin University / 愛知学院大学,Japan,2,2
aichi medical university,Aichi Medical University,U00185,Aichi Medical University,Japan,12,4
aiims rishikesh,AIIMS Rishikesh,U00101,AIIMS Rishikesh,India,1,1
aimst university,AIMST University,U00102,AIMST University,,1,1
ain shams university,Ain Shams University,U00186,Ain Shams University,Egypt,28,7
ain shams university cairo asu cairo,"Ain Shams University in Cairo (ASU, Cairo)",U00186,Ain Shams University,Egypt,12,1
air force engineering university,Air Force Engineering University,U00187,Air Force Engineering University,China,5,4
air force medical university,Air Force Medical University,U00188,Air Force Medical University,China,6,3
air university,Air University,U00189,Air University Islamabad,Pakistan,3,1
air university islamabad,Air University Islamabad,U00189,Air University Islamabad,Pakistan,2,2
airlangga university,AIRLANGGA UNIVERSITY,U05785,Universitas Airlangga,Indonesia,3,1
aix marseille university,Aix-Marseille University,U00190,Aix-Marseille University,France,61,9
aja army university medical science,Aja (Army) University of Medical Sciences,U00191,Aja (Army) University of Medical Sciences,,1,1
ajman university,Ajman University,U00192,Ajman University,United Arab Emirates,13,4
ajou university,Ajou University,U00193,Ajou University,South Korea,41,8
akdeniz universitesi,Akdeniz Üniversitesi,U00194,Akdeniz University,Turkey,7,2
akdeniz university,Akdeniz University,U00194,Akdeniz University,Turkey,16,5
akita prefectural university,Akita Prefectural University / 秋田県立大学,U00195,Akita Prefectural University / 秋田県立大学,,1,1
akita university,Akita University,U00196,Akita University,Japan,11,3
aksaray university,Aksaray University,U00197,Aksaray University,Turkey,7,2
al ahliyya amman university,Al-Ahliyya Amman University,U00207,Al-Ahliyya Amman University,Jordan,8,4
al ain university,Al Ain University,U00198,Al Ain University,United Arab Emirates,9,3
al akhawayn university ifrane,Al Akhawayn University Ifrane,U00199,Al Akhawayn University Ifrane,Morocco,2,2
al ayen university,Al-Ayen University,U00208,Al-Ayen University,Iraq,2,2
al azhar university,Al-Azhar University,U00209,Al-Azhar University,Egypt,29,7
al azhar university gaza,Al Azhar University of Gaza,U00200,Al Azhar University of Gaza,,1,1
al baha university,Al-Baha University,U00210,Al-Baha University,Saudi Arabia,4,3
al balqa applied university,Al-Balqa Applied University,U00211,Al-Balqa Applied University,Jordan,15,4
al bayt university,Al al-Bayt University,U00206,Al al-Bayt University,Jordan,3,2
al farabi kazakh national university,Al-Farabi Kazakh National University,U00212,Al-Farabi Kazakh National University,Kazakhstan,25,3
al farabi kazakh national university kaznu,Al-Farabi Kazakh National University (KazNU),U00212,Al-Farabi Kazakh National University,Kazakhstan,1,1
al furat al awsat technology university,Al-Furat Al-Awsat Technical University,U00213,Al-Furat Al-Awsat Technical University,Iraq,3,2
al hussein bin talal university,Al-Hussein Bin Talal University,U00214,Al-Hussein Bin Talal University,Jordan,3,2
al imam mohammad ibn saud islamic university,AL IMAM MOHAMMAD IBN SAUD ISLAMIC UNIVERSITY,U02214,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,3,1
al imam muhammad ibn saud islamic university,Al-Imam Muhammad Ibn Saud Islamic University,U00215,Al-Imam Muhammad Ibn Saud Islamic University,Saudi Arabia,2,2
al iraqia university,Al Iraqia University,U00201,Al Iraqia University,,1,1
al isra university amman,Al Isra University Amman,U00202,Al Isra University Amman,,1,1
al jouf university,Al Jouf University,U02659,Jouf University,Saudi Arabia,2,2
al maarif university college,Al Maarif University College,U00203,Al Maarif University College,,1,1
al mustaqbal university college,Al-Mustaqbal University College,U00216,Al-Mustaqbal University College,Iraq,2,2
al muthanna university,Al-Muthanna University,U00217,Al-Muthanna University,Iraq,3,2
al nahrain university,Al-Nahrain University,U00218,Al-Nahrain University,Iraq,6,3
al qadisiyah university,Al Qadisiyah University,U05951,University of Al-Qadisiyah,Iraq,1,1
al qasim green university,Al-Qasim Green University,U00219,Al-Qasim Green University,Iraq,1,1
al quds university,Al-Quds University,U00220,Al-Quds University,Palestinian Territories,7,2
al quds university arab university jerusalem,Al Quds University Arab University in Jerusalem,U00204,Al Quds University Arab University in Jerusalem,,1,1
al zaytoonah university,Al Zaytoonah University,U00205,Al Zaytoonah University,,1,1
al zaytoonah university jordan,Al-Zaytoonah University of Jordan,U00221,Al-Zaytoonah University of Jordan,Jordan,3,2
alabama m university,Alabama A&M University,U00222,Alabama A&M University,,1,1
alabama state university,Alabama State University,U00223,Alabama State University,,1,1
alagappa university,Alagappa University,U00224,Alagappa University,India,7,3
alamos national laboratory,Los Alamos National Laboratory (LANL),U03055,Los Alamos National Laboratory (LANL),United States,2,1
alanya alaaddin keykubat university,Alanya Alaaddin Keykubat University,U00225,Alanya Alaaddin Keykubat University,Turkey,1,1
alba synchrotron,ALBA Synchrotron,U00103,ALBA Synchrotron,Spain,1,1
albany college pharmacy health science,Albany College of Pharmacy and Health Sciences,U00226,Albany College of Pharmacy and Health Sciences,,1,1
albany medical center,Albany Medical Center,U00227,Albany Medical Center,United States,1,1
albany medical college,Albany Medical College,U00228,Albany Medical College,United States,6,3
albert einstein college medical,Albert Einstein College of Medicine,U00229,Albert Einstein College of Medicine,United States,8,4
albert einstein college medical einstein,Albert Einstein College of Medicine (Einstein),U00229,Albert Einstein College of Medicine,United States,2,1
albert ludwig university freiburg,Albert Ludwig University of Freiburg,U06181,University of Freiburg,Germany,2,1
albert ludwigs university freiburg,Albert-Ludwigs-Universitaet Freiburg,U06181,University of Freiburg,Germany,15,1
albert ludwigs university freiburg breisgau,Albert-Ludwigs-Universitat Freiburg im Breisgau,U06181,University of Freiburg,Germany,12,1
alberta health services,Alberta Health Services (AHS),U00230,Alberta Health Services (AHS),Canada,1,1
alberto hurtado university,Alberto Hurtado University,U05365,Universidad Alberto Hurtado,Chile,2,1
albion college,Albion College,U00231,Albion College,,1,1
